name,category,address,website,phone,review_count,stars,5_stars,4_stars,3_stars,2_stars,1_stars
The Carousel Bar & Lounge,Bar,"214 Royal St, New Orleans, LA 70130",hotelmonteleone.com,(504) 523-3341,"4,326 reviews",4.5,000,847,312,92,75
Bar Tonique,Cocktail bar,"820 N Rampart St, New Orleans, LA 70116",bartonique.com,,"1,041 reviews",4.7,831,135,34,15,26
Pat O'Brien's,Bar,"718 St Peter, New Orleans, LA 70116",patobriens.com,(504) 525-4823,"10,162 reviews",4.5,807,224,723,205,203
Bourbon Street Drinkery,Live music bar,"217 Bourbon St, New Orleans, LA 70130",drinkery.com,(504) 451-6400,"2,865 reviews",4.6,070,563,140,39,53
21st Amendment Bar at La Louisiane,Cocktail bar,"725 Iberville St, New Orleans, LA 70130",21stamendmentlalouisiane.com,(504) 378-7330,727 reviews,4.8,590,105,24,4,4
Black Penny,Bar,"700 N Rampart St, New Orleans, LA 70116",facebook.com,(504) 304-4779,642 reviews,4.6,468,120,30,8,16
Beach On Bourbon,Bar,"227 Bourbon St, New Orleans, LA 70130",beachonbourbon.com,(504) 522-9764,"2,981 reviews",4.4,864,700,264,55,98
The Sazerac Bar,Restaurant,"130 Roosevelt Way, New Orleans, LA 70130",hilton.com,(504) 648-1200,"1,120 reviews",4.6,832,193,39,30,26
Bourbon 'O' Bar,Bar,"Inside Bourbon Orleans Hotel, 730 Bourbon St, New Orleans, LA 70116",bourbonorleans.com,(855) 771-5214,885 reviews,4.6,655,158,41,9,22
Chart Room,Bar,"300 Chartres St, New Orleans, LA 70130",,(504) 522-1708,950 reviews,4.6,700,174,52,8,16
Old Absinthe House,Bar,"240 Bourbon St, New Orleans, LA 70112",ruebourbon.com,(504) 523-3181,"2,150 reviews",4.4,356,453,176,72,93
High Grace NOLA,Bar,"733 St Peter, New Orleans, LA 70116",highgracenola.com,(504) 218-5649,153 reviews,4.7,131,12,2,3,5
Erin Rose,Bar,"811 Conti St, New Orleans, LA 70112",erinrosebar.com,(504) 522-3573,"1,871 reviews",4.7,514,255,58,15,29
Hot Tin,Cocktail bar,"2031 St Charles Ave FL 14, New Orleans, LA 70130",hottinbar.com,(504) 323-1500,"1,360 reviews",4.6,973,261,70,24,32
little bar on gravier,Bar,"510 Gravier St, New Orleans, LA 70130",,(504) 333-6665,343 reviews,4.7,283,42,10,4,4
Lafitte's Blacksmith Shop Bar,Bar,"941 Bourbon St, New Orleans, LA 70116",lafittesblacksmithshop.com,(504) 593-9761,"10,740 reviews",4.6,479,204,755,158,144
The Will & The Way,Bar,"719 Toulouse St, New Orleans, LA 70130",thewillandtheway.com,(504) 354-1139,492 reviews,4.6,390,52,23,12,15
Candlelight Lounge,Lounge,"925 N Robertson St, New Orleans, LA 70116",facebook.com,,213 reviews,4.5,142,43,18,6,4
